,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07/11/2020 09:43,photo,Studying,negative,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17/06/2021 12:22,photo,Studying,negative,10
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18/04/2021 05:13,photo,Studying,negative,15
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06/01/2021 19:13,photo,Studying,negative,0
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23/08/2020 12:25,photo,Studying,positive,30
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,07/12/2020 06:27,photo,Studying,neutral,35
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11/04/2021 17:35,photo,Studying,positive,70
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27/01/2021 08:32,photo,Studying,negative,5
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,01/04/2021 22:54,photo,Studying,neutral,35
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,04/08/2020 05:05,photo,Studying,positive,65
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,07/11/2020 08:36,photo,Studying,neutral,20
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,02/11/2020 06:28,photo,Studying,negative,15
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,01/11/2020 01:16,photo,Studying,positive,30
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,07/10/2020 18:39,photo,Studying,negative,5
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,03/09/2020 18:51,photo,Studying,negative,15
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24/02/2021 05:09,photo,Studying,positive,75
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23/09/2020 06:24,photo,Studying,neutral,35
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24/02/2021 11:37,photo,Studying,neutral,20
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22/05/2021 19:44,photo,Studying,positive,30
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,31/01/2021 16:03,photo,Studying,positive,45
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20/11/2020 17:26,photo,Studying,neutral,35
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,11/04/2021 20:47,photo,Studying,negative,12
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13/06/2021 16:46,photo,Studying,positive,50
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11/04/2021 14:29,photo,Studying,positive,60
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,02/03/2021 19:21,photo,Studying,negative,12
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27/06/2020 18:44,photo,Studying,negative,5
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,09/05/2021 21:05,photo,Studying,negative,5
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,04/08/2020 23:58,photo,Studying,positive,70
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28/08/2020 03:57,photo,Studying,positive,75
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,25/08/2020 08:21,photo,Studying,positive,45
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,20/04/2021 23:48,photo,Studying,negative,15
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,07/03/2021 12:40,photo,Studying,positive,30
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24/05/2021 03:21,photo,Studying,neutral,20
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24/01/2021 11:03,photo,Studying,positive,75
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,09/04/2021 02:46,photo,Studying,negative,0
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,02/02/2021 03:43,photo,Studying,positive,75
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,04/02/2021 03:06,photo,Studying,positive,30
